SeqId,Heap3SortNComp,Heap3SortTns,AVLTreeSortNComp,AVLTreeSortTns,
seq_250_82,1021,35600,1632,35200,
seq_250_83,1007,34900,1669,34900,
seq_250_84,1027,34500,1630,35200,
seq_250_85,1023,33900,1619,33400,
seq_250_86,1018,50100,1644,50700,
seq_250_87,1003,49800,1648,51200,
seq_250_88,1001,33900,1595,33900,
seq_250_89,1001,39500,1639,34500,
seq_250_90,1023,33800,1644,33700,
seq_250_91,1012,33100,1646,33200,
seq_250_92,1010,33600,1634,33000,
seq_250_93,998,33100,1637,32100,
seq_250_94,995,32200,1659,32700,
seq_250_95,986,32400,1645,33100,
seq_250_96,1019,33300,1651,33300,
seq_250_97,1011,33600,1667,32500,
seq_250_98,1015,33700,1667,36400,
seq_250_99,1018,36100,1643,37200,
seq_300_0,1273,69800,2015,101600,
seq_300_1,1267,65200,2056,90300,
seq_300_2,1265,77500,2027,56200,
seq_300_3,1259,46300,2036,45000,
seq_300_4,1267,48400,2029,57600,
seq_300_5,1254,45500,2040,44400,
seq_300_6,1265,52700,2054,62500,
seq_300_7,1253,43200,2046,40600,
seq_300_8,1258,42300,2024,40200,
seq_300_9,1248,42600,2124,47800,
seq_300_10,1259,42200,2044,40700,
seq_300_11,1240,69900,2033,89600,
seq_300_12,1255,93900,2049,66700,
seq_300_13,1252,41500,2045,46600,
seq_300_14,1266,42000,2049,41700,
seq_300_15,1247,48000,2048,50900,
seq_300_16,1260,43000,2002,40000,
seq_300_17,1259,42400,2074,44500,
seq_300_18,1252,42300,2036,41300,
seq_300_19,1245,41400,2021,40000,
seq_300_20,1263,40800,2048,40000,
seq_300_21,1261,41300,2021,38500,
seq_300_22,1262,41600,2062,40600,
seq_300_23,1250,48500,2060,40800,
seq_300_24,1270,42200,2072,43600,
seq_300_25,1274,42600,2061,41600,
seq_300_26,1246,41300,2046,39600,
seq_300_27,1245,41200,2027,38700,
seq_300_28,1242,43600,2031,49900,
seq_300_29,1270,42500,2042,40800,
seq_300_30,1271,41200,2048,39700,
seq_300_31,1257,41600,2041,39500,
seq_300_32,1264,34600,2079,40400,
seq_300_33,1263,41500,2028,39900,
seq_300_34,1271,45700,2043,44300,
seq_300_35,1268,42300,2009,41500,
seq_300_36,1275,46400,2063,44400,
seq_300_37,1251,53000,2025,42900,
seq_300_38,1257,45000,2085,44600,
seq_300_39,1274,46200,2054,43800,
seq_300_40,1266,45600,2028,42600,
seq_300_41,1272,43300,2029,41700,
seq_300_42,1277,42400,2049,40100,
seq_300_43,1251,48600,2074,39900,
seq_300_44,1260,42700,2057,59500,
seq_300_45,1278,62300,2041,68700,
seq_300_46,1260,57000,2031,59700,
seq_300_47,1255,65900,2001,59300,
seq_300_48,1247,59600,2038,57200,
seq_300_49,1251,61500,2030,53800,
seq_300_50,1262,55700,2038,60100,
seq_300_51,1259,56600,2034,54200,
seq_300_52,1269,70300,2064,66500,
seq_300_53,1271,59800,2000,53500,
seq_300_54,1247,64100,2030,53500,
seq_300_55,1264,57000,2040,59700,
seq_300_56,1262,56600,2035,52100,
seq_300_57,1261,60800,2022,50400,
seq_300_58,1260,58800,2024,50300,
seq_300_59,1264,58500,2040,52600,
seq_300_60,1275,66900,2061,58300,
seq_300_61,1263,58200,2059,95300,
seq_300_62,1264,62600,2063,63800,
seq_300_63,1261,66200,2017,68600,
seq_300_64,1244,57800,2052,57700,
seq_300_65,1234,58900,2002,55000,
seq_300_66,1254,81400,2026,78600,
seq_300_67,1245,104600,2071,96100,
seq_300_68,1262,58400,2036,55300,
seq_300_69,1253,63100,2044,68800,
seq_300_70,1267,59100,2025,60800,
seq_300_71,1266,62000,2014,51900,
seq_300_72,1265,53800,2087,57400,
seq_300_73,1254,58400,2022,59300,
seq_300_74,1259,72200,2029,51100,
seq_300_75,1267,47100,2024,45000,
seq_300_76,1243,45400,2026,44700,
seq_300_77,1257,45100,2031,50900,
seq_300_78,1252,43300,2034,41300,
seq_300_79,1250,83600,2037,61400,
seq_300_80,1269,74100,2086,67800,
seq_300_81,1258,69900,2034,62900,
seq_300_82,1266,58000,2005,62200,
seq_300_83,1234,58800,2055,55000,
seq_300_84,1267,58600,2081,57100,
seq_300_85,1276,64000,2050,62600,
seq_300_86,1238,59800,2035,56400,
seq_300_87,1254,80800,2031,68800,
seq_300_88,1277,61300,2006,83100,
seq_300_89,1254,56000,2049,62700,
seq_300_90,1264,64100,2052,57100,
seq_300_91,1273,60000,2015,56700,
seq_300_92,1248,103300,2066,86000,
seq_300_93,1269,70800,2008,67000,
seq_300_94,1269,59200,2049,85500,
seq_300_95,1267,58100,2020,65000,
seq_300_96,1239,64700,2054,58900,
seq_300_97,1262,60600,2032,66100,
seq_300_98,1232,57700,2048,70300,
seq_300_99,1254,61200,2084,123500,
seq_350_0,1500,68000,2462,71300,
seq_350_1,1527,78600,2452,66500,
seq_350_2,1509,73900,2405,64700,
seq_350_3,1525,88000,2438,61100,
seq_350_4,1511,103300,2423,80700,
seq_350_5,1511,73800,2442,73700,
seq_350_6,1512,68000,2437,74400,
seq_350_7,1493,86400,2426,63300,
seq_350_8,1525,82300,2441,65600,
seq_350_9,1509,72000,2464,69800,
seq_350_10,1500,75500,2433,61800,
seq_350_11,1493,69000,2452,63900,
seq_350_12,1503,71500,2441,78300,
seq_350_13,1520,74400,2439,71500,
seq_350_14,1508,67700,2440,65900,
seq_350_15,1502,72000,2435,78800,
seq_350_16,1498,65900,2444,64800,
seq_350_17,1497,72900,2446,61500,
seq_350_18,1492,64400,2465,61700,
seq_350_19,1492,69900,2488,74000,
seq_350_20,1521,66600,2449,66400,
seq_350_21,1499,67600,2446,71800,
seq_350_22,1495,53900,2438,60700,
seq_350_23,1516,52400,2426,52800,
seq_350_24,1491,51500,2462,49400,
seq_350_25,1504,76800,2445,73700,
seq_350_26,1528,69000,2484,72100,
seq_350_27,1502,68800,2435,68800,
seq_350_28,1505,67600,2451,71600,
seq_350_29,1504,63400,2478,62800,
seq_350_30,1514,91400,2433,56700,
seq_350_31,1498,50500,2468,49000,
seq_350_32,1508,38600,2439,46400,
seq_350_33,1510,38800,2504,42600,
seq_350_34,1522,40300,2484,48800,
seq_350_35,1521,47700,2451,50900,
seq_350_36,1521,51200,2491,60200,
seq_350_37,1513,52400,2453,53400,
seq_350_38,1501,47500,2452,51300,
seq_350_39,1513,46200,2475,43500,
seq_350_40,1498,48800,2442,43300,
seq_350_41,1509,77900,2489,82600,
seq_350_42,1522,71200,2487,80500,
seq_350_43,1499,81700,2483,75700,
seq_350_44,1502,68600,2449,87000,
seq_350_45,1523,130200,2439,112300,
seq_350_46,1516,70900,2471,63100,
seq_350_47,1505,69900,2440,62300,
seq_350_48,1517,90800,2453,74000,
seq_350_49,1501,69000,2444,66200,
seq_350_50,1499,69700,2426,127100,
seq_350_51,1506,73100,2448,74600,
seq_350_52,1528,71400,2434,67000,
seq_350_53,1509,68400,2473,78500,
seq_350_54,1509,59800,2437,62600,
seq_350_55,1507,64200,2428,65100,
seq_350_56,1500,100600,2430,95400,
seq_350_57,1519,80100,2414,69900,
seq_350_58,1510,74900,2461,67300,
seq_350_59,1517,92000,2491,65600,
seq_350_60,1517,65300,2436,78300,
seq_350_61,1503,76700,2466,85800,
seq_350_62,1525,78000,2459,82100,
seq_350_63,1522,70900,2445,64200,
seq_350_64,1508,68800,2424,66300,
seq_350_65,1515,68700,2460,67000,
seq_350_66,1504,65700,2461,64000,
seq_350_67,1524,99400,2446,72000,
seq_350_68,1504,69200,2450,60300,
seq_350_69,1498,69900,2483,70800,
seq_350_70,1523,79600,2460,75700,
seq_350_71,1516,76000,2458,72000,
seq_350_72,1516,73200,2454,66600,
seq_350_73,1516,85500,2424,62100,
seq_350_74,1518,85300,2467,89300,
seq_350_75,1525,70000,2448,70600,
seq_350_76,1511,64300,2451,62000,
seq_350_77,1517,76000,2473,66500,
seq_350_78,1523,79600,2464,62900,
seq_350_79,1495,64900,2466,63800,
seq_350_80,1505,63800,2465,60700,
